2019-07-24,0
2019-08-06,13
2019-09-16,54
2019-09-19,57
2019-09-20,58
2019-09-23,61
2019-09-24,62
2019-09-26,64
2019-09-29,67
2019-10-09,77
2019-10-23,91
2019-10-27,95
2019-11-04,103
2019-11-16,115
2019-12-16,145
2019-12-22,151
2019-12-30,159
2020-01-02,162
2020-01-03,163
2020-01-05,165
2020-01-06,166
2020-01-07,167
2020-01-13,173
2020-01-22,182
2020-01-24,184
2020-01-30,190
2020-02-10,201
2020-02-14,205
2020-02-16,207
2020-02-21,212
2020-02-22,213
2020-02-25,216
2020-02-26,217
2020-03-06,226
2020-03-08,228
2020-03-09,229
2020-03-11,231
2020-03-28,248
2020-03-29,249
2020-04-02,253
2020-04-03,254
2020-04-04,255
2020-04-05,256
2020-04-06,257
2020-04-14,265
2020-04-16,267
2020-04-18,269
2020-04-20,271
2020-04-22,273
2020-04-27,278
2020-04-29,280
2020-05-01,282
2020-05-08,289
2020-05-10,291
2020-05-11,292
2020-05-13,294
2020-05-14,295
2020-05-18,299
2020-05-20,301
2020-05-22,303
2020-05-25,306
2020-05-31,312
2020-06-01,313
2020-06-02,314
2020-06-04,316
2020-06-06,318
2020-06-08,320
2020-06-09,321
2020-06-10,322
2020-06-11,323
2020-06-13,325
2020-06-15,327
2020-06-24,336
2020-06-27,339
2020-06-28,340
2020-06-29,341
2020-07-01,343
2020-07-02,344
2020-07-03,345
2020-07-04,346
2020-07-07,349
2020-07-09,351
2020-07-11,353
2020-07-12,354
2020-07-23,365
2020-07-25,367
2020-07-27,369
2020-08-02,375
2020-08-03,376
2020-08-04,377
2020-08-08,381
2020-08-11,384
2020-08-12,385
2020-08-13,386
2020-08-15,388
2020-08-19,392
2020-08-21,394
2020-08-27,400
2020-08-29,402
2020-08-30,403
2020-09-04,408
2020-09-06,410
2020-09-14,418
2020-09-17,421
2020-09-18,422
2020-09-26,430
2020-10-02,436
2020-10-03,437
2020-10-05,439
2020-10-12,446
2020-10-17,451
2020-10-20,454
2020-10-21,455
2020-10-23,457
2020-10-25,459
2020-10-26,460
2020-10-28,462
2020-10-31,465
2020-11-07,472
2020-11-14,479
2020-11-17,482
2020-11-23,488
2020-12-03,498
2020-12-17,512
2020-12-20,515
2020-12-23,518
2020-12-25,520
2020-12-26,521
2020-12-29,524
2021-01-01,527
2021-01-09,535
2021-01-10,536
2021-01-14,540
2021-01-22,548
2021-01-23,549
2021-01-25,551
2021-01-27,553
2021-01-28,554
2021-01-31,557
2021-02-01,558
2021-02-02,559
2021-02-03,560
2021-02-04,561
2021-02-06,563
2021-02-08,565
2021-02-10,567
2021-02-11,568
2021-02-12,569
2021-02-13,570
2021-02-14,571
2021-02-15,572
2021-02-17,574
2021-02-18,575
2021-02-20,577
2021-02-21,578
2021-02-22,579
2021-02-24,581
2021-02-25,582
2021-02-28,585
2021-03-01,586
2021-03-04,589
2021-03-07,592
2021-03-08,593
2021-03-09,594
2021-03-13,598
2021-03-17,602
2021-03-18,603
2021-03-22,607
2021-03-27,612
2021-03-28,613
2021-04-02,618
2021-04-03,619
2021-04-04,620
2021-04-08,624
2021-04-10,626
2021-04-11,627
2021-04-12,628
2021-04-14,630
2021-04-15,631
2021-04-17,633
2021-04-18,634
2021-04-21,637
2021-04-24,640
2021-04-25,641
2021-04-26,642
2021-04-28,644
2021-04-29,645
2021-05-01,647
2021-05-02,648
2021-05-03,649
2021-05-04,650
2021-05-05,651
2021-05-06,652
2021-05-07,653
2021-05-08,654
2021-05-10,656
2021-05-11,657
2021-05-12,658
2021-05-17,663
2021-05-19,665
2021-05-21,667
2021-05-22,668
2021-05-27,673
2021-05-30,676
